id,symbol,name,price_usd,market_cap,volume_24h,high_24h,low_24h,price_change_24h_pct,circulating_supply,max_supply,last_updated
bitcoin,btc,Bitcoin,111688.0,2227081553714,41971535202,113226.0,111200.0,-0.86194,19918450.0,21000000.0,2025-09-09T15:02:51.243Z
ethereum,eth,Ethereum,4306.28,519309880092,30296371841,4380.6,4279.58,-1.17468,120705000.4650543,,2025-09-09T15:02:51.524Z
ripple,xrp,XRP,2.97,176861036101,6433740361,3.03,2.94,-0.39712,59610205486.0,100000000000.0,2025-09-09T15:02:50.596Z
tether,usdt,Tether,1.0,168927176934,93959811726,1.0,0.99994,0.01053,168923873996.6638,,2025-09-09T15:02:50.892Z
binancecoin,bnb,BNB,875.25,121821965093,1031783571,884.29,872.66,-0.68246,139187367.96,200000000.0,2025-09-09T15:02:50.470Z
solana,sol,Solana,215.36,116752624454,9613315048,219.5,211.34,-0.07806,542008101.7447627,,2025-09-09T15:02:50.831Z
usd-coin,usdc,USDC,0.999806,72581354714,10491852965,0.999832,0.9997,-0.00024,72595367231.95433,,2025-09-09T15:02:50.848Z
staked-ether,steth,Lido Staked Ether,4302.58,37276156673,74919204,4373.18,4273.82,-1.05663,8673130.87074235,,2025-09-09T15:02:50.055Z
dogecoin,doge,Dogecoin,0.240586,36226241402,4133273956,0.248063,0.234107,0.96566,150789676383.7052,,2025-09-09T15:02:50.412Z
tron,trx,TRON,0.336536,31842071723,942361406,0.338162,0.329914,0.79522,94663241841.04411,,2025-09-09T15:02:50.385Z
cardano,ada,Cardano,0.868124,31674595181,2041367858,0.893643,0.85674,0.55277,36509250518.60805,45000000000.0,2025-09-09T15:02:50.588Z
wrapped-steth,wsteth,Wrapped stETH,5221.72,16385780105,36911353,5306.73,5185.85,-1.07456,3143421.567976018,,2025-09-09T15:02:53.157Z
chainlink,link,Chainlink,23.22,15740873244,1094346939,23.76,22.87,0.28962,678099970.4527868,1000000000.0,2025-09-09T15:02:51.003Z
hyperliquid,hype,Hyperliquid,53.54,14505934925,726638506,55.04,50.04,3.93898,270772999.4341414,1000000000.0,2025-09-09T15:02:50.145Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,112036.0,14237870462,180301638,113275.0,111151.0,-0.70695,127237.25872278,127237.25872278,2025-09-09T15:02:50.233Z
